team,date,elo,confederation,fifa_name
Spain,2026-06-26,1979.9,UEFA,Spain
Argentina,2026-06-27,1970.2,CONMEBOL,Argentina
France,2026-06-26,1940.5,UEFA,France
England,2026-06-27,1888.7,UEFA,England
Morocco,2026-06-24,1887.6,CAF,Morocco
Japan,2026-06-25,1882.8,AFC,Japan
Brazil,2026-06-24,1875.4,CONMEBOL,Brazil
Netherlands,2026-06-25,1867.7,UEFA,Netherlands
Portugal,2026-06-27,1867.6,UEFA,Portugal
Croatia,2026-06-27,1864.7,UEFA,Croatia
Germany,2026-06-25,1863.2,UEFA,Germany
Colombia,2026-06-27,1862.1,CONMEBOL,Colombia
Senegal,2026-06-26,1851.9,CAF,Senegal
Turkey,2026-06-25,1840.4,UEFA,Türkiye
Iran,2026-06-26,1826.6,AFC,IR Iran
Australia,2026-06-25,1825.5,AFC,Australia
Switzerland,2026-06-24,1825.3,UEFA,Switzerland
Ecuador,2026-06-25,1824.7,CONMEBOL,Ecuador
Austria,2026-06-27,1821.5,UEFA,Austria
South Korea,2026-06-24,1816.5,AFC,Korea Republic
Belgium,2026-06-26,1815.2,UEFA,Belgium
Uruguay,2026-06-26,1815.0,CONMEBOL,Uruguay
Algeria,2026-06-27,1803.9,CAF,Algeria
Paraguay,2026-06-25,1799.0,CONMEBOL,Paraguay
Uzbekistan,2026-06-27,1795.5,AFC,Uzbekistan
Norway,2026-06-26,1776.1,UEFA,Norway
Mexico,2026-06-24,1773.2,Co-hôtes,Mexico
Egypt,2026-06-26,1769.1,CAF,Egypt
Ivory Coast,2026-06-25,1763.1,CAF,Côte d'Ivoire
Sweden,2026-06-25,1762.8,UEFA,Sweden
Iraq,2026-06-26,1754.0,AFC,Iraq
United States,2026-06-25,1743.9,Co-hôtes,USA
Czech Republic,2026-06-24,1735.3,UEFA,Czechia
Panama,2026-06-27,1728.7,CONCACAF,Panama
DR Congo,2026-06-27,1722.3,CAF,Congo DR
Canada,2026-06-24,1712.5,Co-hôtes,Canada
Saudi Arabia,2026-06-26,1703.8,AFC,Saudi Arabia
Scotland,2026-06-24,1703.6,UEFA,Scotland
Jordan,2026-06-27,1692.5,AFC,Jordan
Tunisia,2026-06-25,1681.3,CAF,Tunisia
South Africa,2026-06-24,1675.9,CAF,South Africa
Qatar,2026-06-24,1672.3,AFC,Qatar
New Zealand,2026-06-26,1668.4,OFC,New Zealand
Cape Verde,2026-06-26,1659.0,CAF,Cabo Verde
Haiti,2026-06-24,1650.1,CONCACAF,Haiti
Bosnia and Herzegovina,2026-06-24,1644.0,UEFA,Bosnia and Herzegovina
Ghana,2026-06-27,1629.5,CAF,Ghana
Curaçao,2026-06-25,1590.3,CONCACAF,Curaçao
