match_id,home_team,away_team,home_score,away_score,home_xg,away_xg
3857276,Canada,Morocco,1,2,1.095618012,0.426403825
3857271,England,Iran,6,2,1.9871577450000002,1.4556585987
3857296,Croatia,Belgium,0,0,0.695021896,2.3818400918
3857274,Netherlands,Ecuador,1,1,0.104464025,1.651054305
3857255,Japan,Spain,2,1,1.157800672,0.857712208
3857272,England,United States,0,0,0.460638346,0.514287002
3857278,Iran,United States,0,1,0.920789942,1.169654601
3857277,Morocco,Croatia,0,0,0.362638976,0.849860505
3857273,Wales,Iran,0,2,0.615635191,1.4539579476
3857275,Tunisia,France,1,0,0.298346986,0.476989374
3857261,Wales,England,0,3,0.20800949800000001,2.91548517
3857290,Switzerland,Cameroon,1,0,1.426544536,0.6130733495
3857298,Portugal,Ghana,3,2,2.096873393,0.7800233097
3857285,Senegal,Netherlands,0,2,0.6914927065,1.1238838
3857282,United States,Wales,1,1,0.6024987946,1.395336012
3857297,Poland,Saudi Arabia,2,0,1.734172485,1.971976484
3857294,Netherlands,Qatar,2,0,1.713953273,0.143716575
3857266,France,Denmark,2,1,1.933569429,0.8885438419999999
3857284,Germany,Japan,1,2,2.768019421,1.249259581
3857254,Denmark,Tunisia,0,0,1.566558758,1.059935118
3857265,Mexico,Poland,0,0,0.5291349314,1.137926228
3857301,Qatar,Senegal,1,3,0.960086173,0.9029646219999999
3857268,Belgium,Canada,1,0,0.670040854,2.546212336
3857269,Brazil,Switzerland,1,0,0.922729946,0.288629175
3869321,Netherlands,Argentina,2,2,4.487037827,5.856697131
3857292,Costa Rica,Germany,2,4,1.0347440669999999,4.316106397
3857295,Japan,Costa Rica,0,1,0.773533495,0.199368384
3869685,Argentina,France,3,3,5.892305926,5.406617949
3869684,Croatia,Morocco,2,1,0.8492689636,0.99145712
3857256,Serbia,Switzerland,2,3,1.1890035350000001,3.1035154719999998
3869151,Argentina,Australia,2,1,1.481579303,0.42611782
3857257,Australia,Denmark,1,0,0.469723377,0.737154632
3857258,Brazil,Serbia,2,0,2.1238895187,0.163327144
3857288,Tunisia,Australia,0,1,1.052170345,0.3590377687
3857267,Ecuador,Senegal,1,2,1.0016627869999999,1.70746471
3857287,Uruguay,South Korea,0,0,0.417294332,0.492992523
3869486,Morocco,Portugal,1,0,0.972022875,0.7441207567
3857260,Saudi Arabia,Mexico,1,2,1.076111142,2.3221233279
3857264,Poland,Argentina,0,2,0.19759524499999997,3.076659699
3857289,Argentina,Mexico,2,0,0.325204139,0.2063916517
3869254,Portugal,Switzerland,6,1,2.284260007,1.2718271719999998
3869118,England,Senegal,3,0,1.020023461,0.972806433
3869519,Argentina,Croatia,3,0,1.8643632719999998,0.4100536413
3869354,England,France,1,2,2.352551477,0.8393620340000001
3869552,France,Morocco,2,0,2.002449116,1.23036399
3869420,Croatia,Brazil,1,1,3.7668888039999997,4.9503305555
3869220,Morocco,Spain,0,0,3.704374606,2.8454908599
3869219,Japan,Croatia,1,1,4.202976766,3.988397506
3869253,Brazil,South Korea,4,1,3.261424097,0.3448272774
3869152,France,Poland,3,1,1.126374493,1.593527124
3869117,Netherlands,United States,3,1,1.481948115,1.652097544
3857270,Portugal,Uruguay,2,0,1.2137340055999999,1.216681074
3857263,Spain,Germany,1,1,0.6395007165,1.1469521137
3857259,Cameroon,Serbia,3,3,2.0703093487,1.7380672830000001
3857283,Belgium,Morocco,0,2,0.642612082,0.9911085500000001
3857286,Qatar,Ecuador,0,2,0.30418895050000005,1.1540112984
