confederation,fifa_name,dataset_name
Co-hôtes,Canada,Canada
Co-hôtes,Mexico,Mexico
Co-hôtes,USA,United States
AFC,Australia,Australia
AFC,Iraq,Iraq
AFC,IR Iran,Iran
AFC,Japan,Japan
AFC,Jordan,Jordan
AFC,Korea Republic,South Korea
AFC,Qatar,Qatar
AFC,Saudi Arabia,Saudi Arabia
AFC,Uzbekistan,Uzbekistan
CAF,Algeria,Algeria
CAF,Cabo Verde,Cape Verde
CAF,Congo DR,DR Congo
CAF,Côte d'Ivoire,Ivory Coast
CAF,Egypt,Egypt
CAF,Ghana,Ghana
CAF,Morocco,Morocco
CAF,Senegal,Senegal
CAF,South Africa,South Africa
CAF,Tunisia,Tunisia
CONCACAF,Curaçao,Curaçao
CONCACAF,Haiti,Haiti
CONCACAF,Panama,Panama
CONMEBOL,Argentina,Argentina
CONMEBOL,Brazil,Brazil
CONMEBOL,Colombia,Colombia
CONMEBOL,Ecuador,Ecuador
CONMEBOL,Paraguay,Paraguay
CONMEBOL,Uruguay,Uruguay
OFC,New Zealand,New Zealand
UEFA,Austria,Austria
UEFA,Belgium,Belgium
UEFA,Bosnia and Herzegovina,Bosnia and Herzegovina
UEFA,Croatia,Croatia
UEFA,Czechia,Czech Republic
UEFA,England,England
UEFA,France,France
UEFA,Germany,Germany
UEFA,Netherlands,Netherlands
UEFA,Norway,Norway
UEFA,Portugal,Portugal
UEFA,Scotland,Scotland
UEFA,Spain,Spain
UEFA,Sweden,Sweden
UEFA,Switzerland,Switzerland
UEFA,Türkiye,Turkey
